,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
4,F*CK LOVE 3+: OVER YOU,5,2n1XN46reBpu5I9wDwzZMP,DON'T LEAVE ME (feat. G Herbo & Lil Durk),spotify:track:2n1XN46reBpu5I9wDwzZMP,0.0917,0.639,0.727,0.0,0.111,-5.23,0.0901,75.992,0.256,55
5,F*CK LOVE 3+: OVER YOU,6,6oFJuAS9OYFfMRFJ08SI1S,BAD NEWS,spotify:track:6oFJuAS9OYFfMRFJ08SI1S,0.071,0.55,0.533,0.0,0.12,-6.853,0.0441,87.48,0.171,57
7,F*CK LOVE 3+: OVER YOU,8,7azFd0yynobtMV5yIlG5H0,I DON'T KNOW,spotify:track:7azFd0yynobtMV5yIlG5H0,0.0319,0.53,0.673,0.0,0.148,-6.851,0.0584,160.886,0.406,63
8,F*CK LOVE 3+: OVER YOU,9,5G7P83QgRGqnzJZmMJuxOH,ABOUT YOU,spotify:track:5G7P83QgRGqnzJZmMJuxOH,0.0116,0.632,0.508,0.0,0.0992,-8.435,0.0842,163.985,0.0647,62
9,F*CK LOVE 3+: OVER YOU,10,39KjdyH9mQhJ4rcrNNrXYa,LONELY AND F*CKED UP,spotify:track:39KjdyH9mQhJ4rcrNNrXYa,0.0421,0.752,0.631,0.0,0.188,-6.809,0.0495,124.983,0.502,64
10,F*CK LOVE 3+: OVER YOU,11,4x5Xqnp2mJnHX2hwGOHbVS,SITUATION,spotify:track:4x5Xqnp2mJnHX2hwGOHbVS,0.0551,0.754,0.836,0.0,0.265,-5.991,0.29,76.528,0.244,59
11,F*CK LOVE 3+: OVER YOU,12,5JrljwNvTFN6y7b5a5Nzq7,ATTENTION,spotify:track:5JrljwNvTFN6y7b5a5Nzq7,0.0274,0.878,0.583,0.0,0.393,-7.053,0.0729,132.939,0.32,61
12,F*CK LOVE 3+: OVER YOU,13,5TqyBpQregEG4VMK767HSB,BEST FOR ME,spotify:track:5TqyBpQregEG4VMK767HSB,0.553,0.536,0.482,0.0,0.123,-6.749,0.0311,90.966,0.185,66
70,F*CK LOVE 3: OVER YOU,1,5vqJLLFlnmCaui7Ng7YAn1,OVER YOU,spotify:track:5vqJLLFlnmCaui7Ng7YAn1,0.431,0.454,0.718,0.0,0.163,-5.084,0.107,141.556,0.275,64
71,F*CK LOVE 3: OVER YOU,2,1JXBNvlDEl2epKSJ9EOgKX,NOT SOBER (feat. Polo G & Stunna Gambino),spotify:track:1JXBNvlDEl2epKSJ9EOgKX,0.0928,0.671,0.639,0.0,0.0941,-6.852,0.134,119.82,0.385,79
72,F*CK LOVE 3: OVER YOU,3,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),spotify:track:5PjdY0CKGZdEuoNab3yDmX,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478,94
73,F*CK LOVE 3: OVER YOU,4,3mXOssdHHkN6AvLw6ZgKiL,SAME ENERGY,spotify:track:3mXOssdHHkN6AvLw6ZgKiL,0.135,0.676,0.494,0.0,0.0995,-7.077,0.261,169.685,0.756,67
76,F*CK LOVE 3: OVER YOU,7,637YZncqOkeFzcTmr7YijJ,STILL CHOSE YOU (feat. Mustard),spotify:track:637YZncqOkeFzcTmr7YijJ,0.41,0.724,0.5,0.0,0.115,-7.112,0.259,97.694,0.317,71
99,F*CK LOVE (SAVAGE),1,33QXHN1SzNgHIRPr7qYknV,PIKACHU,spotify:track:33QXHN1SzNgHIRPr7qYknV,0.0662,0.747,0.487,0.0,0.36,-7.064,0.125,92.978,0.248,64
101,F*CK LOVE (SAVAGE),3,13EW51DKru044OJDJ9Bm8o,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),spotify:track:13EW51DKru044OJDJ9Bm8o,0.0383,0.779,0.642,0.0,0.2,-6.321,0.116,82.363,0.388,77
102,F*CK LOVE (SAVAGE),4,3QCU8BT0zDS9LPVfEhRFEE,ALWAYS DO,spotify:track:3QCU8BT0zDS9LPVfEhRFEE,0.0442,0.762,0.426,0.0,0.0858,-6.865,0.113,167.827,0.582,77
103,F*CK LOVE (SAVAGE),5,1yP6g2Ka4CisR3i2cuIcjK,FEEL SOMETHING (feat. Marshmello),spotify:track:1yP6g2Ka4CisR3i2cuIcjK,0.059,0.523,0.609,0.0,0.14,-7.802,0.191,154.051,0.374,71
104,F*CK LOVE (SAVAGE),6,0DYNL4xbYWgNzppUamtyR4,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",spotify:track:0DYNL4xbYWgNzppUamtyR4,0.0693,0.721,0.632,0.0,0.291,-6.695,0.0358,92.057,0.296,79
105,F*CK LOVE (SAVAGE),7,27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,spotify:track:27OeeYzk6klgBh83TSvGMA,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,93.005,0.467,86
106,F*CK LOVE (SAVAGE),1,1KDsnpM14Y6CXbJHDaRV2B,BOOTY CALL (skit),spotify:track:1KDsnpM14Y6CXbJHDaRV2B,0.978,0.773,0.398,0.0,0.413,-11.494,0.871,56.284,0.556,49
111,F*CK LOVE (SAVAGE),6,3cUrfbOtj6VsbyNxQCPXex,BATHROOM (skit),spotify:track:3cUrfbOtj6VsbyNxQCPXex,0.94,0.8,0.743,0.0,0.774,-9.05,0.912,116.899,0.593,7
114,F*CK LOVE (SAVAGE),9,1v7yjddEltY6J51Wx7mXTa,SAME THING,spotify:track:1v7yjddEltY6J51Wx7mXTa,0.0225,0.662,0.659,0.0,0.107,-4.642,0.155,135.95,0.363,58
118,F*CK LOVE (SAVAGE),13,0WyFvqmfNViCxZqdfkclsb,WISH YOU WELL (skit),spotify:track:0WyFvqmfNViCxZqdfkclsb,0.955,0.619,0.256,0.0,0.596,-12.522,0.538,170.572,0.656,46
122,F*CK LOVE (SAVAGE),2,2gqWRRCXnma9L8xQ1RdemQ,SO DONE,spotify:track:2gqWRRCXnma9L8xQ1RdemQ,0.232,0.719,0.598,0.0,0.115,-6.254,0.077,142.592,0.303,72
