,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,JACKBOYS,1,7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,spotify:track:7h0d2h0fUmzbs7zeFigJPn,0.0567,0.559,0.491,0.0,0.0992,-6.406,0.0346,153.131,0.114,72
1,JACKBOYS,2,62zKJrpbLxz6InR3tGyr7o,JACKBOYS,spotify:track:62zKJrpbLxz6InR3tGyr7o,0.9,0.413,0.13,0.82,0.111,-25.166,0.0336,123.342,0.0676,59
2,JACKBOYS,3,6uJONCdr2rC65BNmCnTBWK,GANG GANG,spotify:track:6uJONCdr2rC65BNmCnTBWK,0.071,0.859,0.6,0.0,0.353,-4.63,0.301,123.017,0.568,72
3,JACKBOYS,4,7LGWmZaoS7jZJ5tEi9EcDi,HAD ENOUGH (feat. Quavo & Offset),spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,0.253,0.75,0.789,0.0,0.129,-4.578,0.108,147.957,0.673,69
4,JACKBOYS,5,6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),spotify:track:6gi6y1xwmVszDWkUqab1qw,0.0104,0.802,0.591,0.0,0.196,-4.895,0.225,139.864,0.309,83
5,JACKBOYS,6,4AO1XhrgJczQ9bNVxdfKQe,WHAT TO DO? (feat. Don Toliver),spotify:track:4AO1XhrgJczQ9bNVxdfKQe,0.0695,0.643,0.594,1.46e-05,0.115,-5.191,0.0312,118.037,0.195,73
6,JACKBOYS,7,40mjsnRjCpycdUw3xhS20g,GATTI,spotify:track:40mjsnRjCpycdUw3xhS20g,0.135,0.594,0.676,0.0,0.163,-5.808,0.344,143.477,0.472,80
7,ASTROWORLD,1,7wBJfHzpfI3032CSD7CE2m,STARGAZING,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,150.007,0.0564,79
8,ASTROWORLD,2,7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,spotify:track:7KZ5MMVgBVox9ycroB2UrI,0.229,0.428,0.403,0.0,0.22,-5.914,0.209,95.387,0.133,70
9,ASTROWORLD,3,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,0.446,86
10,ASTROWORLD,4,4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,spotify:track:4SZepBIPDRwPaHIjAKwRDb,0.389,0.607,0.609,1.6e-05,0.111,-5.978,0.291,74.946,0.556,70
11,ASTROWORLD,5,1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,spotify:track:1xYpVRspgaLxdJLOTQkTjg,0.221,0.588,0.567,0.0,0.135,-3.738,0.0628,150.009,0.113,71
12,ASTROWORLD,6,6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,spotify:track:6OaVWaGfhXn70ZJfdVcabn,0.0204,0.731,0.811,0.0,0.411,-3.225,0.0712,147.045,0.426,76
13,ASTROWORLD,7,6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,0.00146,0.46,0.686,0.0,0.375,-5.948,0.0367,148.054,0.252,74
14,ASTROWORLD,8,20MuVazoNMv6xjKPnRFOxG,WAKE UP,spotify:track:20MuVazoNMv6xjKPnRFOxG,0.192,0.741,0.645,0.0,0.163,-5.116,0.0963,149.07,0.488,73
15,ASTROWORLD,9,11kDth1aKUEUMq9r1pqyds,5% TINT,spotify:track:11kDth1aKUEUMq9r1pqyds,0.173,0.712,0.481,0.0,0.241,-5.415,0.0487,140.0,0.062,82
16,ASTROWORLD,10,6BJbOXDlgVAXSaq6wYFYT2,NC-17,spotify:track:6BJbOXDlgVAXSaq6wYFYT2,0.0678,0.804,0.763,0.0,0.368,-5.48,0.0519,136.052,0.0585,68
17,ASTROWORLD,11,4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,0.142,0.7,0.46,4.81e-05,0.111,-8.111,0.0661,151.901,0.286,76
18,ASTROWORLD,12,7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,128.047,0.144,78
19,ASTROWORLD,13,27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,spotify:track:27a1mYSG5tYg7dmEjWBcmL,0.201,0.702,0.708,0.0,0.118,-5.366,0.0547,147.98,0.713,80
20,ASTROWORLD,14,4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,spotify:track:4KYS9GK68yeuUJ8vJfPxrq,0.0462,0.834,0.731,0.0,0.0731,-5.603,0.0566,140.001,0.681,69
21,ASTROWORLD,15,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,140.958,0.193,82
22,ASTROWORLD,16,58TaFP5j5i9swOf584yon2,HOUSTONFORNICATION,spotify:track:58TaFP5j5i9swOf584yon2,0.0985,0.689,0.723,0.0,0.158,-4.052,0.0836,160.042,0.288,72
23,ASTROWORLD,17,6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,0.0862,0.81,0.582,0.00681,0.207,-5.098,0.125,95.004,0.503,73
41,"Huncho Jack, Jack Huncho",1,7J6bnDDitOwfelaJNixHhL,Modern Slavery,spotify:track:7J6bnDDitOwfelaJNixHhL,0.00186,0.765,0.733,0.0,0.297,-3.509,0.165,133.966,0.495,62
42,"Huncho Jack, Jack Huncho",2,628Ueb4sRiXApObhcU9iPU,Black & Chinese,spotify:track:628Ueb4sRiXApObhcU9iPU,0.00389,0.668,0.844,0.00879,0.119,-4.151,0.0956,159.108,0.33,65
43,"Huncho Jack, Jack Huncho",3,4vwfOiyWxXeEdx4ejAJgdx,Eye 2 Eye,spotify:track:4vwfOiyWxXeEdx4ejAJgdx,0.00122,0.818,0.65,0.0,0.104,-4.328,0.148,146.015,0.163,59
44,"Huncho Jack, Jack Huncho",4,7g7raxdQpiLZT7aOlib4S1,Motorcycle Patches,spotify:track:7g7raxdQpiLZT7aOlib4S1,0.0158,0.868,0.657,0.0,0.0995,-4.853,0.113,162.867,0.436,66
