,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,95,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,216120,4
1,LYMEY,END OF YEAR 2021,6usFCFN0F69JcAaHtB55sg,28,0.429,0.829,6,-5.071,0,0.0604,0.0238,0.000174,0.673,0.278,127.083,1472769,4
2,Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,92,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4
3,Elvis Costello & The Attractions,Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,67,0.645,0.809,11,-6.12,1,0.0385,0.00921,0.00108,0.106,0.966,138.978,196680,4
4,Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,91,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4
5,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,41,0.437,0.605,8,-5.5,0,0.0329,0.00924,0.118,0.264,0.581,125.114,191160,4
6,Benny The Butcher,Johnny P's Caddy,6AshXllQhobwSXsdpgp41w,79,0.535,0.819,8,-6.792,1,0.455,0.584,0.0,0.16,0.581,150.451,225000,4
7,Amaranta,Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,26,0.459,0.693,0,-10.44,1,0.254,0.238,0.0,0.931,0.53,136.397,1035421,4
8,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,90,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
9,Elvis Costello & The Attractions,"Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,50,0.596,0.872,4,-4.925,1,0.0796,0.135,3.23e-06,0.278,0.899,146.734,186213,4
10,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
11,yt music,Year 2021,0DBlFmx6wmnuoLaAl7hfew,0,0.848,0.39,0,-11.553,0,0.107,0.127,0.397,0.105,0.577,144.986,245101,4
12,GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,100,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,168602,4
13,Amaranta,Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,26,0.532,0.876,5,-10.247,0,0.257,0.232,0.0,0.384,0.654,100.349,457619,5
14,Jessica Darrow,Surface Pressure,760jhRscwGbIIe1m1IIQpU,91,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227,4
15,Elvis Costello & The Attractions,The Beat - 2021 Remaster,1bqlDsBlBPxjK0zuFQcSXq,48,0.724,0.767,11,-5.368,0,0.0646,0.115,0.0,0.0995,0.893,133.509,228973,4
16,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,98,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,173381,4
17,J.K.,Year 2021,4trDNqHFg6hfx8w9uni7lY,0,0.735,0.748,11,-8.329,0,0.355,0.123,0.0,0.108,0.533,159.886,207750,4
18,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,96,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
19,Dj Biffen,Merry Christmas and Happy New Year 2021 - Radio Edit,7h7yPyss4MIBVPXVeF83vg,31,0.887,0.633,8,-10.453,1,0.066,0.0629,0.922,0.0637,0.849,130.023,176363,4
20,The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,97,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
21,Ennio Morricone,"Brasiliana - From ""Il vizietto"" / Remastered 2021",7IsSKkaAme7KM0sx2nWiGa,14,0.502,0.8,11,-10.837,0,0.18,0.0538,0.0,0.0495,0.966,121.198,82210,4
22,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,97,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
23,Craze_Returned,Year 2021,65hIZYAYu3fxltrGK6frIn,0,0.714,0.905,0,-6.461,1,0.0685,0.00845,0.133,0.686,0.384,74.998,147217,4
24,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
25,Ennio Morricone,"Dal Night - From ""Il vizietto"" / Remastered 2021",4EqKiG549YsSytCpDFrF65,14,0.718,0.652,2,-10.427,1,0.0326,0.00872,0.498,0.0857,0.977,123.062,51040,4
26,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,95,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
27,Duck,Year 2021,4cdcFyEEr2g74eM9m8XohF,0,0.77,0.781,0,-10.694,0,0.219,0.162,2.55e-06,0.825,0.632,144.931,104668,4
28,Stephanie Beatriz,The Family Madrigal,4b1yxSdlumA8N4fEk4UOZp,89,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,257213,4
29,Luiz Bonfá,"Jazzato Twist - From ""Le ore dell'amore"" / Remastered 2021",4jsVkPEea16ZDODlYNXVVA,24,0.626,0.405,7,-16.507,0,0.0578,0.917,0.85,0.0839,0.865,92.921,73230,3
